#lam_um dlam_um depth depth_sigma response_mode
0.98854 0.0001175 1.94833e-09 5.14356e-11 boxcar
0.988775 0.0001175 1.94699e-09 5.07026e-11 boxcar
0.98901 0.0001175 2.00308e-09 5.20029e-11 boxcar
0.989245 0.0001175 1.73488e-09 4.9543e-11 boxcar
0.98948 0.0001175 2.07628e-09 5.05999e-11 boxcar
0.989715 0.0001175 2.07309e-09 4.99021e-11 boxcar
0.98995 0.0001175 1.82323e-09 4.5853e-11 boxcar
0.990185 0.0001175 1.8931e-09 4.70151e-11 boxcar
0.99042 0.0001175 1.92714e-09 4.80529e-11 boxcar
0.990655 0.0001175 1.89558e-09 4.92466e-11 boxcar
0.99089 0.0001175 1.79994e-09 5.14123e-11 boxcar
0.991125 0.0001175 1.63414e-09 4.79657e-11 boxcar
0.99136 0.0001175 1.87342e-09 5.43211e-11 boxcar
0.991595 0.0001175 1.78691e-09 4.85985e-11 boxcar
0.99183 0.0001175 1.55932e-09 4.98659e-11 boxcar
0.992065 0.0001175 1.8119e-09 5.82718e-11 boxcar
0.9923 0.0001175 1.76914e-09 5.47344e-11 boxcar
0.992535 0.0001175 1.76851e-09 4.96753e-11 boxcar
0.99277 0.0001175 1.99089e-09 5.16128e-11 boxcar
0.993005 0.0001175 1.68507e-09 5.02881e-11 boxcar
0.99324 0.0001175 1.84922e-09 5.20617e-11 boxcar
0.993475 0.0001175 1.80792e-09 5.29038e-11 boxcar
0.99371 0.0001175 1.85683e-09 5.34708e-11 boxcar
0.993945 0.0001175 1.83732e-09 6.35539e-11 boxcar
0.99418 0.0001175 1.97735e-09 5.50952e-11 boxcar
0.994415 0.0001175 1.71442e-09 6.98856e-11 boxcar
0.99465 0.0001175 1.78876e-09 6.33169e-11 boxcar
0.994885 0.0001175 1.58474e-09 6.40221e-11 boxcar
0.99512 0.0001175 1.77395e-09 5.73232e-11 boxcar
0.995355 0.0001175 1.75751e-09 6.2848e-11 boxcar
0.99559 0.0001175 1.70149e-09 4.97782e-11 boxcar
0.995825 0.0001175 1.74176e-09 4.88481e-11 boxcar
0.99606 0.0001175 1.81564e-09 4.84152e-11 boxcar
0.996295 0.0001175 1.90943e-09 4.83167e-11 boxcar
0.99653 0.0001175 1.93251e-09 5.02933e-11 boxcar
0.996765 0.0001175 1.79458e-09 4.83004e-11 boxcar
0.997 0.0001175 1.6159e-09 4.8456e-11 boxcar
0.997235 0.0001175 1.79018e-09 4.94225e-11 boxcar
0.99747 0.0001175 1.8829e-09 4.93855e-11 boxcar
0.997705 0.0001175 2.08024e-09 5.16239e-11 boxcar
0.99794 0.0001175 1.83583e-09 4.43126e-11 boxcar
0.998175 0.0001175 1.79351e-09 4.53216e-11 boxcar
0.99841 0.0001175 1.95004e-09 5.10831e-11 boxcar
0.998645 0.0001175 1.92654e-09 4.79119e-11 boxcar
0.99888 0.0001175 2.04231e-09 4.95902e-11 boxcar
0.999115 0.0001175 2.10482e-09 4.93949e-11 boxcar
0.99935 0.0001175 1.87763e-09 4.85041e-11 boxcar
0.999585 0.0001175 1.98256e-09 4.71995e-11 boxcar
0.99982 0.0001175 2.05211e-09 4.64072e-11 boxcar
1.00005 0.0001175 1.99032e-09 5.11019e-11 boxcar
1.00029 0.0001175 1.6118e-09 4.6399e-11 boxcar
1.00052 0.0001175 1.71647e-09 4.95064e-11 boxcar
1.00076 0.0001175 1.64036e-09 5.01898e-11 boxcar
1.00099 0.0001175 1.74985e-09 5.45789e-11 boxcar
1.00123 0.0001175 1.99844e-09 5.31513e-11 boxcar
1.00146 0.0001175 1.75571e-09 4.9043e-11 boxcar
1.0017 0.0001175 2.11621e-09 5.02964e-11 boxcar
1.00193 0.0001175 2.06643e-09 5.37649e-11 boxcar
1.00217 0.0001175 2.01492e-09 4.97961e-11 boxcar
1.0024 0.0001175 2.05531e-09 5.01297e-11 boxcar
1.00264 0.0001175 2.03019e-09 5.1985e-11 boxcar
1.00287 0.0001175 1.79666e-09 4.94121e-11 boxcar
1.00311 0.0001175 2.09386e-09 5.42188e-11 boxcar
1.00334 0.0001175 1.99376e-09 5.02153e-11 boxcar
1.00358 0.0001175 1.92897e-09 4.84324e-11 boxcar
1.00381 0.0001175 1.98644e-09 4.8117e-11 boxcar
1.00405 0.0001175 2.01166e-09 4.73809e-11 boxcar
1.00428 0.0001175 1.90973e-09 4.80513e-11 boxcar
1.00452 0.0001175 2.09908e-09 5.01044e-11 boxcar
1.00475 0.0001175 1.91732e-09 4.71889e-11 boxcar
1.00499 0.0001175 1.83216e-09 4.75733e-11 boxcar
1.00522 0.0001175 1.73776e-09 4.58647e-11 boxcar
1.00546 0.0001175 1.70149e-09 4.55973e-11 boxcar
1.00569 0.0001175 1.54792e-09 5.34656e-11 boxcar
1.00593 0.0001175 2.03551e-09 4.86731e-11 boxcar
1.00616 0.0001175 1.98189e-09 4.7138e-11 boxcar
1.0064 0.0001175 1.90411e-09 4.59388e-11 boxcar
1.00663 0.0001175 1.7447e-09 4.61959e-11 boxcar
1.00687 0.0001175 1.70755e-09 4.66876e-11 boxcar
1.0071 0.0001175 1.96364e-09 4.88439e-11 boxcar
1.00734 0.0001175 2.00942e-09 4.93916e-11 boxcar
1.00757 0.0001175 1.91172e-09 4.66926e-11 boxcar
1.00781 0.0001175 1.94861e-09 4.47635e-11 boxcar
1.00804 0.0001175 1.97712e-09 4.76978e-11 boxcar
1.00828 0.0001175 1.97247e-09 4.69834e-11 boxcar
1.00851 0.0001175 1.88987e-09 4.68178e-11 boxcar
1.00875 0.0001175 2.01455e-09 4.66491e-11 boxcar
1.00898 0.0001175 2.09249e-09 4.71972e-11 boxcar
1.00922 0.0001175 1.83414e-09 4.73915e-11 boxcar
