# WASP-80b emission data from Eureka pipeline
# Format: wavelength(um)  delta_wavelength(um)  eclipse_depth  err_pos  err_neg  response_mode  offset_group
# Eclipse depth and uncertainties in fraction
# Data sorted by wavelength (lowest to highest)
# F322W2: NIRCam 2.46-3.94 um, F444W: NIRCam 3.90-4.96 um, LRS: MIRI 5.25-11.75 um
# ================================================================================
3.7175000 0.007500000 0.00055744459 0.00007165356 0.00007033313 boxcar F322W2
3.7325000 0.007500000 0.00034582826 0.00007492916 0.00007636957 boxcar F322W2
3.7475000 0.007500000 0.00037533463 0.00007358913 0.00007222067 boxcar F322W2
3.7625000 0.007500000 0.00044057527 0.00007828157 0.00007711974 boxcar F322W2
3.7775000 0.007500000 0.00053921879 0.00008508930 0.00007776846 boxcar F322W2
3.7925000 0.007500000 0.00061280672 0.00008236010 0.00008732084 boxcar F322W2
3.8075000 0.007500000 0.00043030088 0.00007714013 0.00007635128 boxcar F322W2
3.8225000 0.007500000 0.00048872369 0.00008216030 0.00008490070 boxcar F322W2
3.8375000 0.007500000 0.00061306085 0.00007979992 0.00007954916 boxcar F322W2
3.8525000 0.007500000 0.00053890591 0.00008018725 0.00007887370 boxcar F322W2
3.8675000 0.007500000 0.00063749639 0.00007494206 0.00007461100 boxcar F322W2
3.8825000 0.007500000 0.00052758154 0.00008292432 0.00008295524 boxcar F322W2
3.8975000 0.007500000 0.00067758802 0.00008627434 0.00008735096 boxcar F322W2
3.8975000 0.007500000 0.00065479665 0.00009848939 0.00009763056 boxcar F444W
3.9125000 0.007500000 0.00062285048 0.00008256847 0.00008327601 boxcar F322W2
3.9125000 0.007500000 0.00081629743 0.00007629503 0.00007878563 boxcar F444W
3.9275000 0.007500000 0.00056442778 0.00007363479 0.00007221335 boxcar F322W2
3.9275000 0.007500000 0.00075337183 0.00007308453 0.00006936749 boxcar F444W
3.9425000 0.007500000 0.00080945996 0.00007751779 0.00008206734 boxcar F322W2
3.9425000 0.007500000 0.00089374278 0.00008904729 0.00007529698 boxcar F444W
3.9575000 0.007500000 0.00084193830 0.00008276669 0.00008755128 boxcar F444W
3.9725000 0.007500000 0.00074824497 0.00007501065 0.00007203724 boxcar F444W
3.9875000 0.007500000 0.00080968002 0.00007371036 0.00007362752 boxcar F444W
4.0025000 0.007500000 0.00074357445 0.00007360622 0.00007247702 boxcar F444W
4.0175000 0.007500000 0.00091236805 0.00007713698 0.00007253646 boxcar F444W
4.0325000 0.007500000 0.00094008858 0.00007201117 0.00007597930 boxcar F444W
4.0475000 0.007500000 0.00082683853 0.00008209423 0.00008095611 boxcar F444W
4.0625000 0.007500000 0.00093531896 0.00007965290 0.00007842375 boxcar F444W
4.0775000 0.007500000 0.00083415124 0.00007388648 0.00007430308 boxcar F444W
4.0925000 0.007500000 0.00086613625 0.00007905901 0.00008520755 boxcar F444W
4.1075000 0.007500000 0.00085484740 0.00007521094 0.00007616424 boxcar F444W
