CENTRALWAVELNG	BANDWIDTH	PL_TRANDEP	PL_TRANDEPERR1	PL_TRANDEPERR2	PL_TRANDEP_AUTHORS	PL_RATROR	PL_RATRORERR1	PL_RATRORERR2	PL_RATROR_AUTHORS	PL_RADJ	PL_RADJERR1	PL_RADJERR2	PL_RADJ_AUTHORS	PL_TRANMID	PL_TRANMIDERR1	PL_TRANMIDERR2	ST_RAD	ST_RADERR1	ST_RADERR2	ST_RAD_AUTHORS
3.3275	0.0075	2.0772	0.008	-0.008	Welbanks et al. 2024	0.14412	0.00028	-0.00028	Calculated	0.9397	0.0281	-0.0281	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.3425	0.0075	2.0595	0.0075	-0.0075	Welbanks et al. 2024	0.14351	0.00026	-0.00026	Calculated	0.9357	0.028	-0.028	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.3575	0.0075	2.0555	0.0071	-0.0071	Welbanks et al. 2024	0.14337	0.00025	-0.00025	Calculated	0.9348	0.0279	-0.0279	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.3725	0.0075	2.0604	0.0076	-0.0076	Welbanks et al. 2024	0.14354	0.00026	-0.00026	Calculated	0.9359	0.028	-0.028	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.3875	0.0075	2.0425	0.0078	-0.0078	Welbanks et al. 2024	0.14292	0.00027	-0.00027	Calculated	0.9318	0.0279	-0.0279	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.4025	0.0075	2.0401	0.0081	-0.0081	Welbanks et al. 2024	0.14283	0.00028	-0.00028	Calculated	0.9312	0.0279	-0.0279	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.4175	0.0075	2.0417	0.0082	-0.0082	Welbanks et al. 2024	0.14289	0.00029	-0.00029	Calculated	0.9316	0.0279	-0.0279	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.4325	0.0075	2.0368	0.0078	-0.0078	Welbanks et al. 2024	0.14272	0.00027	-0.00027	Calculated	0.9305	0.0278	-0.0278	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.4475	0.0075	2.0412	0.0078	-0.0078	Welbanks et al. 2024	0.14287	0.00027	-0.00027	Calculated	0.9315	0.0279	-0.0279	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.4625	0.0075	2.0507	0.0082	-0.0082	Welbanks et al. 2024	0.1432	0.00029	-0.00029	Calculated	0.9337	0.0279	-0.0279	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.4775	0.0075	2.0417	0.0077	-0.0077	Welbanks et al. 2024	0.14289	0.00027	-0.00027	Calculated	0.9316	0.0279	-0.0279	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.4925	0.0075	2.0462	0.0078	-0.0078	Welbanks et al. 2024	0.14305	0.00027	-0.00027	Calculated	0.9326	0.0279	-0.0279	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.5075	0.0075	2.043	0.0081	-0.0081	Welbanks et al. 2024	0.14293	0.00028	-0.00028	Calculated	0.9319	0.0279	-0.0279	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.5225	0.0075	2.0332	0.008	-0.008	Welbanks et al. 2024	0.14259	0.00028	-0.00028	Calculated	0.9297	0.0278	-0.0278	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
