# TWA 27b JWST emission spectrum
# NIRSpec (twa27b.txt): 3% assumed errors; errors not retrieved
# MIRI MRS (twa27-b_MIRI_MRS_bin100.txt): errors from data; offset_group MIRI is a free parameter
# Flux converted from Jy to erg/s/cm^2/cm (Flambda)
# lam_um  dlam_um  flux  flux_sigma  response_mode  offset_group
9.930456e-01  1.233000e-04  1.530888e-10  4.592665e-12  boxcar  NIRSpec
9.932922e-01  1.233000e-04  1.588606e-10  4.765818e-12  boxcar  NIRSpec
9.935388e-01  1.233000e-04  1.614654e-10  4.843963e-12  boxcar  NIRSpec
9.937854e-01  1.233000e-04  2.259195e-10  6.777586e-12  boxcar  NIRSpec
9.940320e-01  1.233000e-04  1.524449e-10  4.573347e-12  boxcar  NIRSpec
9.942786e-01  1.233000e-04  1.423276e-10  4.269827e-12  boxcar  NIRSpec
9.945252e-01  1.233000e-04  2.270250e-10  6.810751e-12  boxcar  NIRSpec
9.947718e-01  1.233000e-04  2.959175e-10  8.877525e-12  boxcar  NIRSpec
9.950184e-01  1.232750e-04  1.727525e-10  5.182574e-12  boxcar  NIRSpec
9.952649e-01  1.232750e-04  1.690012e-10  5.070036e-12  boxcar  NIRSpec
9.955115e-01  1.233000e-04  1.572886e-10  4.718659e-12  boxcar  NIRSpec
9.957581e-01  1.233000e-04  2.157399e-10  6.472197e-12  boxcar  NIRSpec
9.960047e-01  1.233000e-04  2.631884e-10  7.895652e-12  boxcar  NIRSpec
9.962513e-01  1.233000e-04  2.584430e-10  7.753291e-12  boxcar  NIRSpec
9.964979e-01  1.233000e-04  2.113229e-10  6.339686e-12  boxcar  NIRSpec
9.967445e-01  1.233000e-04  2.322189e-10  6.966567e-12  boxcar  NIRSpec
9.969911e-01  1.233000e-04  2.019530e-10  6.058591e-12  boxcar  NIRSpec
9.972377e-01  1.233000e-04  1.585908e-10  4.757725e-12  boxcar  NIRSpec
9.974843e-01  1.233000e-04  2.007878e-10  6.023633e-12  boxcar  NIRSpec
9.977309e-01  1.233000e-04  1.765298e-10  5.295895e-12  boxcar  NIRSpec
9.979775e-01  1.233000e-04  1.842162e-10  5.526487e-12  boxcar  NIRSpec
9.982241e-01  1.233000e-04  2.294361e-10  6.883083e-12  boxcar  NIRSpec
9.984707e-01  1.232750e-04  2.095896e-10  6.287687e-12  boxcar  NIRSpec
9.987172e-01  1.232750e-04  1.615488e-10  4.846465e-12  boxcar  NIRSpec
9.989638e-01  1.233000e-04  2.247375e-10  6.742124e-12  boxcar  NIRSpec
9.992104e-01  1.233000e-04  2.627837e-10  7.883512e-12  boxcar  NIRSpec
9.994570e-01  1.233000e-04  1.912965e-10  5.738896e-12  boxcar  NIRSpec
9.997036e-01  1.233000e-04  1.440415e-10  4.321244e-12  boxcar  NIRSpec
9.999502e-01  1.233000e-04  1.497982e-10  4.493946e-12  boxcar  NIRSpec
1.000197e+00  1.233000e-04  1.420880e-10  4.262640e-12  boxcar  NIRSpec
1.000443e+00  1.233000e-04  1.762160e-10  5.286480e-12  boxcar  NIRSpec
1.000690e+00  1.233000e-04  1.762093e-10  5.286278e-12  boxcar  NIRSpec
1.000937e+00  1.233000e-04  1.650164e-10  4.950492e-12  boxcar  NIRSpec
1.001183e+00  1.233000e-04  1.739184e-10  5.217553e-12  boxcar  NIRSpec
1.001430e+00  1.233000e-04  2.037281e-10  6.111843e-12  boxcar  NIRSpec
