# wavelength_um flux_convolved
3.014088569554548e-01 1.653252047955139e+12
3.014239273983025e-01 2.527857623663978e+12
3.014389985946725e-01 1.588701539660421e+12
3.014540705446022e-01 6.260153066509932e+11
3.014691432481295e-01 1.296985184235714e+12
3.014842167052919e-01 2.576567741747404e+12
3.014992909161271e-01 1.774780899614182e+12
3.015143658806730e-01 1.364355774376671e+12
3.015294415989670e-01 1.806864211550629e+12
3.015445180710469e-01 1.220520681058471e+12
3.015595952969505e-01 6.149327210405551e+11
3.015746732767153e-01 4.521850236544701e+11
3.015897520103792e-01 9.088576469805868e+11
3.016048314979797e-01 6.474645213730615e+11
3.016199117395547e-01 8.598247711443016e+11
3.016349927351416e-01 1.590752268742687e+12
3.016500744847784e-01 1.973787139563532e+12
3.016651569885026e-01 1.547884250985256e+12
3.016802402463521e-01 1.288692596998282e+12
3.016953242583644e-01 1.291522033552679e+12
3.017104090245773e-01 6.871177160281444e+11
3.017254945450286e-01 1.548186838663823e+12
3.017405808197558e-01 1.368679525195486e+12
3.017556678487968e-01 1.363545047420287e+12
3.017707556321892e-01 1.554593572385983e+12
3.017858441699708e-01 1.354824405265055e+12
3.018009334621793e-01 1.335115224176087e+12
3.018160235088524e-01 9.180725674508810e+11
3.018311143100279e-01 8.317046181799847e+11
3.018462058657434e-01 1.120492200844074e+11
3.018612981760367e-01 6.120531195929175e+11
3.018763912409455e-01 9.842962808451047e+11
3.018914850605076e-01 9.537045371693967e+11
3.019065796347606e-01 9.881557093010220e+11
3.019216749637423e-01 1.228453824700799e+12
3.019367710474906e-01 6.619569252734276e+11
3.019518678860429e-01 9.982116790265131e+11
3.019669654794372e-01 7.271666700651942e+11
3.019820638277112e-01 4.735209611949100e+11
3.019971629309026e-01 4.551201581526698e+11
3.020122627890491e-01 7.710653132454686e+11
3.020273634021887e-01 6.437637442600217e+11
3.020424647703587e-01 7.524883056016420e+11
3.020575668935973e-01 7.731046947034406e+11
3.020726697719419e-01 6.611706478433807e+11
3.020877734054305e-01 5.012925625664474e+11
3.021028777941008e-01 4.676374020125517e+11
3.021179829379905e-01 3.248048577040745e+11
3.021330888371374e-01 1.011260124138481e+11
3.021481954915792e-01 3.408360465725257e+10
3.021633029013538e-01 1.140361645726245e+11
3.021784110664989e-01 2.040989177423050e+11
3.021935199870522e-01 5.606739981270525e+10
3.022086296630516e-01 2.333019746759509e+11
3.022237400945347e-01 4.360379083179605e+11
3.022388512815395e-01 3.227886865044543e+11
3.022539632241035e-01 5.908320793918555e+11
3.022690759222647e-01 7.591506326781014e+11
3.022841893760608e-01 7.487042007305555e+11
3.022993035855297e-01 9.129269233454445e+11
3.023144185507090e-01 9.214790437475942e+11
3.023295342716366e-01 1.028622998154165e+12
3.023446507483502e-01 1.065630713672289e+12
3.023597679808875e-01 1.044087570454590e+12
3.023748859692866e-01 1.247861518246772e+12
3.023900047135850e-01 1.296622354025638e+12
3.024051242138207e-01 1.311936287847501e+12
3.024202444700314e-01 1.548208599050537e+12
3.024353654822549e-01 1.400234391725583e+12
3.024504872505290e-01 1.104687771692081e+12
3.024656097748916e-01 1.286225212596152e+12
3.024807330553803e-01 1.167116782943474e+12
3.024958570920330e-01 6.210593862808416e+11
3.025109818848877e-01 1.167185818998614e+12
3.025261074339819e-01 7.905891058193726e+11
3.025412337393536e-01 1.028138497503258e+12
3.025563608010405e-01 1.173643656900330e+12
3.025714886190806e-01 1.121176564257997e+12
3.025866171935116e-01 1.032208748868333e+12
3.026017465243713e-01 1.113943780531523e+12
3.026168766116975e-01 6.079960091781191e+11
3.026320074555281e-01 5.146270822370247e+11
3.026471390559008e-01 5.468245808956584e+11
3.026622714128537e-01 3.555846172059969e+11
3.026774045264243e-01 1.823393746470478e+11
3.026925383966506e-01 6.155548424414908e+11
3.027076730235704e-01 7.489818118264362e+11
3.027228084072216e-01 8.264888026267028e+11
3.027379445476420e-01 5.114421646606533e+11
3.027530814448693e-01 1.180489150507556e+12
3.027682190989416e-01 1.409336756700099e+12
3.027833575098965e-01 1.371041867505268e+12
3.027984966777720e-01 1.252606097867701e+12
3.028136366026059e-01 1.346221837618662e+12
3.028287772844360e-01 1.648481096136925e+12
3.028439187233002e-01 1.601802542091138e+12
3.028590609192364e-01 1.531331181734657e+12
3.028742038722824e-01 2.141885805005152e+12
3.028893475824760e-01 1.480800445031878e+12
3.029044920498551e-01 2.058597161996584e+12
3.029196372744576e-01 1.729907976751782e+12
3.029347832563213e-01 2.036589268289464e+12
3.029499299954842e-01 2.817552730002975e+12
3.029650774919839e-01 2.660053870115828e+12
3.029802257458585e-01 1.538802314516604e+12
3.029953747571458e-01 1.847748518333940e+12
3.030105245258837e-01 6.257502939076577e+11
3.030256750521100e-01 2.830240570547783e+12
3.030408263358627e-01 1.692996017652504e+12
3.030559783771794e-01 2.445901389279384e+12
3.030711311760983e-01 1.488975987281922e+12
3.030862847326571e-01 2.139366066924612e+12
3.031014390468937e-01 9.082922689996456e+11
3.031165941188461e-01 7.780333621262631e+11
3.031317499485520e-01 2.103278768233945e+12
3.031469065360495e-01 1.958350653939340e+12
3.031620638813762e-01 2.374877355819079e+12
3.031772219845703e-01 1.834835382114792e+12
3.031923808456696e-01 1.697082142518762e+12
3.032075404647118e-01 1.031400444879075e+12
3.032227008417351e-01 9.659966478398693e+11
3.032378619767771e-01 1.317589997196028e+12
3.032530238698759e-01 6.160671340928308e+11
3.032681865210695e-01 6.099316600948534e+11
3.032833499303955e-01 1.510166400775469e+12
3.032985140978920e-01 2.235490410166878e+12
3.033136790235970e-01 2.462449592223946e+12
3.033288447075482e-01 4.953723516831045e+12
3.033440111497835e-01 3.700364978551951e+12
3.033591783503410e-01 1.464377277388884e+12
3.033743463092585e-01 3.460679421376669e+12
3.033895150265740e-01 3.239148797319866e+12
3.034046845023253e-01 2.237120326524812e+12
3.034198547365504e-01 3.436534020567570e+12
3.034350257292873e-01 4.052680202518199e+12
3.034501974805737e-01 2.268076235807397e+12
3.034653699904478e-01 2.355560127877221e+12
3.034805432589472e-01 3.760761527703174e+12
3.034957172861102e-01 1.889863927858159e+12
3.035108920719745e-01 1.050687308800857e+12
3.035260676165781e-01 1.051637059510244e+12
3.035412439199590e-01 1.233073197730970e+12
3.035564209821549e-01 2.034744997887796e+12
3.035715988032041e-01 1.827523157600183e+12
3.035867773831442e-01 2.304202510212882e+12
3.036019567220133e-01 2.391295441824403e+12
3.036171368198495e-01 2.617366981451457e+12
3.036323176766905e-01 2.313287435079084e+12
3.036474992925743e-01 2.741204781108846e+12
3.036626816675389e-01 1.927178247328604e+12
3.036778648016223e-01 1.541535713047102e+12
3.036930486948624e-01 1.909412966534617e+12
3.037082333472971e-01 1.753231999472381e+12
3.037234187589645e-01 1.319372899353154e+12
3.037386049299024e-01 1.250456350986551e+12
3.037537918601488e-01 1.330623372548066e+12
3.037689795497419e-01 1.082593351110450e+12
3.037841679987194e-01 7.896597358112350e+11
3.037993572071193e-01 5.245186706029214e+11
3.038145471749796e-01 3.682566001134765e+11
3.038297379023384e-01 1.050158892862547e+11
3.038449293892336e-01 4.644253172459481e+11
3.038601216357030e-01 6.116870866035109e+11
3.038753146417847e-01 4.218011139460389e+11
3.038905084075168e-01 6.567011562436842e+11
3.039057029329372e-01 9.891218632341949e+11
3.039208982180838e-01 1.344937970132332e+12
3.039360942629948e-01 1.605564863563377e+12
3.039512910677079e-01 1.483104416724559e+12
3.039664886322613e-01 1.751674961637187e+12
3.039816869566929e-01 2.162307021691404e+12
3.039968860410407e-01 1.388407213198906e+12
3.040120858853428e-01 1.792271697956156e+12
3.040272864896370e-01 1.673109582625367e+12
3.040424878539615e-01 2.275600544591019e+12
