# wavelength_um  transit_depth
4.7401670401e-01 1.2110949588e-02
4.7591277082e-01 1.2109581995e-02
4.7781642191e-01 1.2108221031e-02
4.7972768759e-01 1.2106855034e-02
4.8164659834e-01 1.2105498777e-02
4.8357318474e-01 1.2104146734e-02
4.8550747748e-01 1.2102822424e-02
4.8744950739e-01 1.2101466376e-02
4.8939930542e-01 1.2100115752e-02
4.9135690264e-01 1.2098770238e-02
4.9332233025e-01 1.2097433105e-02
4.9529561957e-01 1.2096091352e-02
4.9727680205e-01 1.2094769836e-02
4.9926590926e-01 1.2093493478e-02
5.0126297289e-01 1.2092296102e-02
5.0326802478e-01 1.2091634227e-02
5.0528109688e-01 1.2089984168e-02
5.0730222127e-01 1.2088646890e-02
5.0933143016e-01 1.2087350706e-02
5.1136875588e-01 1.2085922784e-02
5.1341423090e-01 1.2084469380e-02
5.1546788782e-01 1.2083015804e-02
5.1752975937e-01 1.2081581921e-02
5.1959987841e-01 1.2080203898e-02
5.2167827793e-01 1.2078847553e-02
5.2376499104e-01 1.2077525338e-02
5.2586005100e-01 1.2076196481e-02
5.2796349121e-01 1.2074884472e-02
5.3007534517e-01 1.2073574938e-02
5.3219564655e-01 1.2072266168e-02
5.3432442914e-01 1.2070950271e-02
5.3646172685e-01 1.2069686437e-02
5.3860757376e-01 1.2068465569e-02
5.4076200406e-01 1.2067521447e-02
5.4292505207e-01 1.2066087906e-02
5.4509675228e-01 1.2064767152e-02
5.4727713929e-01 1.2063561605e-02
5.4946624785e-01 1.2062130638e-02
5.5166411284e-01 1.2060783887e-02
5.5387076929e-01 1.2059397551e-02
5.5608625237e-01 1.2058027811e-02
5.5831059738e-01 1.2056681042e-02
5.6054383977e-01 1.2055372833e-02
5.6278601513e-01 1.2054062198e-02
5.6503715919e-01 1.2052764112e-02
5.6729730782e-01 1.2051954497e-02
5.6956649705e-01 1.2051102525e-02
5.7184476304e-01 1.2049303604e-02
5.7413214209e-01 1.2048174488e-02
5.7642867066e-01 1.2046921243e-02
5.7873438535e-01 1.2045569485e-02
5.8104932289e-01 1.2044581289e-02
5.8337352018e-01 1.2043214096e-02
5.8570701426e-01 1.2042624358e-02
5.8804984232e-01 1.2046641991e-02
5.9040204169e-01 1.2046384189e-02
5.9276364985e-01 1.2041509293e-02
5.9513470445e-01 1.2041870570e-02
5.9751524327e-01 1.2040088742e-02
5.9990530424e-01 1.2038610405e-02
6.0230492546e-01 1.2036238149e-02
6.0471414516e-01 1.2033678745e-02
6.0713300174e-01 1.2031524803e-02
6.0956153375e-01 1.2029607710e-02
6.1199977988e-01 1.2027848389e-02
6.1444777900e-01 1.2026311217e-02
6.1690557012e-01 1.2024950435e-02
6.1937319240e-01 1.2023567217e-02
6.2185068517e-01 1.2022312072e-02
6.2433808791e-01 1.2021209130e-02
6.2683544026e-01 1.2020729454e-02
6.2934278202e-01 1.2018748569e-02
6.3186015315e-01 1.2017749202e-02
6.3438759376e-01 1.2016418315e-02
6.3692514414e-01 1.2015287370e-02
6.3947284472e-01 1.2014434456e-02
6.4203073609e-01 1.2013302012e-02
6.4459885904e-01 1.2014657676e-02
6.4717725447e-01 1.2017489781e-02
6.4976596349e-01 1.2012505501e-02
6.5236502735e-01 1.2012543973e-02
6.5497448746e-01 1.2010263811e-02
6.5759438541e-01 1.2010235790e-02
6.6022476295e-01 1.2007341925e-02
6.6286566200e-01 1.2005205899e-02
6.6551712465e-01 1.2003434984e-02
6.6817919315e-01 1.2001322071e-02
6.7085190992e-01 1.1999335449e-02
6.7353531756e-01 1.1997838568e-02
6.7622945883e-01 1.1996263764e-02
6.7893437666e-01 1.1995068331e-02
6.8165011417e-01 1.1993884000e-02
6.8437671463e-01 1.1992580342e-02
6.8711422149e-01 1.1991464013e-02
6.8986267837e-01 1.1992614590e-02
6.9262212908e-01 1.2008059261e-02
6.9539261760e-01 1.1998767482e-02
6.9817418807e-01 1.1992374297e-02
7.0096688482e-01 1.1995093667e-02
7.0377075236e-01 1.1995897816e-02
7.0658583537e-01 1.1994074871e-02
7.0941217871e-01 1.1994475937e-02
7.1224982743e-01 1.1996127175e-02
7.1509882674e-01 1.2004740119e-02
7.1795922205e-01 1.2042619923e-02
7.2083105893e-01 1.2019956411e-02
7.2371438317e-01 1.2012459471e-02
7.2660924070e-01 1.2013856771e-02
7.2951567766e-01 1.2009295329e-02
7.3243374038e-01 1.2010107410e-02
7.3536347534e-01 1.2004527611e-02
7.3830492924e-01 1.1999638582e-02
