#grid point     #iterations     #chem_iter      #cond_iter      converged               elem_conserved          p (bar)                 T (K)                   n_<tot> (cm-3)          n_g (cm-3)              m (u)                   e-      Al      Ar      C       Ca      Cl      Co      Cr      Cu      F       Fe      Ge      H       He      K       Mg      Mn      N       Na      Ne      Ni      O       P       S       Si      Ti      V       Zn      
35              0               8               0               ok                      ok                      2.4287643825e-08        1.0000000000e+03        3.2705402580e+11        1.7591468813e+11        2.3261421905e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
36              0               8               0               ok                      ok                      2.4911300261e-08        1.0000000000e+03        3.3545213054e+11        1.8043181330e+11        2.3261424271e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
37              0               8               0               ok                      ok                      2.5550970904e-08        1.0000000000e+03        3.4406588166e+11        1.8506492891e+11        2.3261426606e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
38              0               8               0               ok                      ok                      2.6207066965e-08        1.0000000000e+03        3.5290081651e+11        1.8981701334e+11        2.3261428911e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
39              0               8               0               ok                      ok                      2.6880010215e-08        1.0000000000e+03        3.6196261465e+11        1.9469112146e+11        2.3261431187e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
40              0               8               0               ok                      ok                      2.7570233256e-08        1.0000000000e+03        3.7125710147e+11        1.9969038659e+11        2.3261433434e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
41              0               8               0               ok                      ok                      2.8278179796e-08        1.0000000000e+03        3.8079025192e+11        2.0481802251e+11        2.3261435652e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
42              0               8               0               ok                      ok                      2.9004304939e-08        1.0000000000e+03        3.9056819440e+11        2.1007732551e+11        2.3261437842e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
43              0               8               0               ok                      ok                      2.9749075472e-08        1.0000000000e+03        4.0059721469e+11        2.1547167652e+11        2.3261440004e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
44              0               8               0               ok                      ok                      3.0512970172e-08        1.0000000000e+03        4.1088375993e+11        2.2100454331e+11        2.3261442139e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
45              0               8               0               ok                      ok                      3.1296480107e-08        1.0000000000e+03        4.2143444284e+11        2.2667948267e+11        2.3261444246e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
46              0               8               0               ok                      ok                      3.2100108955e-08        1.0000000000e+03        4.3225604594e+11        2.3250014273e+11        2.3261446327e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
47              0               8               0               ok                      ok                      3.2924373330e-08        1.0000000000e+03        4.4335552591e+11        2.3847026529e+11        2.3261448381e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
48              0               8               0               ok                      ok                      3.3769803108e-08        1.0000000000e+03        4.5474001805e+11        2.4459368825e+11        2.3261450410e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
49              0               8               0               ok                      ok                      3.4636941774e-08        1.0000000000e+03        4.6641684089e+11        2.5087434803e+11        2.3261452413e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
50              0               8               0               ok                      ok                      3.5526346766e-08        1.0000000000e+03        4.7839350090e+11        2.5731628217e+11        2.3261454390e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
51              0               8               0               ok                      ok                      3.6438589838e-08        1.0000000000e+03        4.9067769727e+11        2.6392363184e+11        2.3261456343e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
52              0               8               0               ok                      ok                      3.7374257424e-08        1.0000000000e+03        5.0327732692e+11        2.7070064458e+11        2.3261458270e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
53              0               8               0               ok                      ok                      3.8333951018e-08        1.0000000000e+03        5.1620048951e+11        2.7765167698e+11        2.3261460174e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
54              0               8               0               ok                      ok                      3.9318287557e-08        1.0000000000e+03        5.2945549272e+11        2.8478119752e+11        2.3261462054e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
55              0               8               0               ok                      ok                      4.0327899822e-08        1.0000000000e+03        5.4305085753e+11        2.9209378938e+11        2.3261463911e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
56              0               8               0               ok                      ok                      4.1363436841e-08        1.0000000000e+03        5.5699532374e+11        2.9959415348e+11        2.3261465744e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
57              0               8               0               ok                      ok                      4.2425564307e-08        1.0000000000e+03        5.7129785555e+11        3.0728711140e+11        2.3261467554e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
58              0               8               0               ok                      ok                      4.3514965009e-08        1.0000000000e+03        5.8596764735e+11        3.1517760857e+11        2.3261469342e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
59              0               8               0               ok                      ok                      4.4632339267e-08        1.0000000000e+03        6.0101412964e+11        3.2327071737e+11        2.3261471108e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
60              0               8               0               ok                      ok                      4.5778405384e-08        1.0000000000e+03        6.1644697505e+11        3.3157164047e+11        2.3261472852e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
61              0               8               0               ok                      ok                      4.6953900107e-08        1.0000000000e+03        6.3227610460e+11        3.4008571409e+11        2.3261474574e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
62              0               8               0               ok                      ok                      4.8159579102e-08        1.0000000000e+03        6.4851169404e+11        3.4881841150e+11        2.3261476275e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
63              0               8               0               ok                      ok                      4.9396217439e-08        1.0000000000e+03        6.6516418045e+11        3.5777534651e+11        2.3261477955e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
64              0               8               0               ok                      ok                      5.0664610089e-08        1.0000000000e+03        6.8224426888e+11        3.6696227708e+11        2.3261479614e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
65              0               8               0               ok                      ok                      5.1965572438e-08        1.0000000000e+03        6.9976293928e+11        3.7638510902e+11        2.3261481253e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
66              0               8               0               ok                      ok                      5.3299940808e-08        1.0000000000e+03        7.1773145353e+11        3.8604989978e+11        2.3261482872e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
67              0               8               0               ok                      ok                      5.4668572997e-08        1.0000000000e+03        7.3616136270e+11        3.9596286237e+11        2.3261484472e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
68              0               8               0               ok                      ok                      5.6072348829e-08        1.0000000000e+03        7.5506451447e+11        4.0613036933e+11        2.3261486052e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
69              0               8               0               ok                      ok                      5.7512170718e-08        1.0000000000e+03        7.7445306075e+11        4.1655895683e+11        2.3261487613e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
70              0               8               0               ok                      ok                      5.8988964255e-08        1.0000000000e+03        7.9433946546e+11        4.2725532887e+11        2.3261489154e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
71              0               8               0               ok                      ok                      6.0503678794e-08        1.0000000000e+03        8.1473651259e+11        4.3822636162e+11        2.3261490678e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
72              0               8               0               ok                      ok                      6.2057288068e-08        1.0000000000e+03        8.3565731440e+11        4.4947910778e+11        2.3261492183e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
73              0               8               0               ok                      ok                      6.3650790813e-08        1.0000000000e+03        8.5711531983e+11        4.6102080118e+11        2.3261493669e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
74              0               8               0               ok                      ok                      6.5285211411e-08        1.0000000000e+03        8.7912432318e+11        4.7285886139e+11        2.3261495139e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
75              0               8               0               ok                      ok                      6.6961600549e-08        1.0000000000e+03        9.0169847293e+11        4.8500089848e+11        2.3261496590e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
76              0               8               0               ok                      ok                      6.8681035890e-08        1.0000000000e+03        9.2485228090e+11        4.9745471796e+11        2.3261498024e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
77              0               8               0               ok                      ok                      7.0444622773e-08        1.0000000000e+03        9.4860063151e+11        5.1022832576e+11        2.3261499442e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
78              0               8               0               ok                      ok                      7.2253494918e-08        1.0000000000e+03        9.7295879141e+11        5.2332993337e+11        2.3261500842e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
79              0               8               0               ok                      ok                      7.4108815156e-08        1.0000000000e+03        9.9794241925e+11        5.3676796316e+11        2.3261502226e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
80              0               8               0               ok                      ok                      7.6011776180e-08        1.0000000000e+03        1.0235675758e+12        5.5055105374e+11        2.3261503594e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
81              0               8               0               ok                      ok                      7.7963601304e-08        1.0000000000e+03        1.0498507341e+12        5.6468806557e+11        2.3261504946e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
82              0               8               0               ok                      ok                      7.9965545259e-08        1.0000000000e+03        1.0768087904e+12        5.7918808661e+11        2.3261506281e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
83              0               8               0               ok                      ok                      8.2018894992e-08        1.0000000000e+03        1.1044590746e+12        5.9406043819e+11        2.3261507602e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
84              0               8               0               ok                      ok                      8.4124970497e-08        1.0000000000e+03        1.1328193618e+12        6.0931468098e+11        2.3261508907e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
85              0               8               0               ok                      ok                      8.6285125664e-08        1.0000000000e+03        1.1619078833e+12        6.2496062115e+11        2.3261510196e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
86              0               8               0               ok                      ok                      8.8500749145e-08        1.0000000000e+03        1.1917433388e+12        6.4100831670e+11        2.3261511471e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
87              0               8               0               ok                      ok                      9.0773265252e-08        1.0000000000e+03        1.2223449079e+12        6.5746808387e+11        2.3261512731e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
88              0               8               0               ok                      ok                      9.3104134871e-08        1.0000000000e+03        1.2537322629e+12        6.7435050379e+11        2.3261513977e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
