#p (bar)        	T (K)           	n_<tot> (cm-3)  	n_g (cm-3)      	m (u)           	H2O1            	C1O2            	C1O1            	C1H4            	H3N1            
4.4632339267e-08	1.0000000000e+03	6.0101412964e+11	3.2327071737e+11	2.3261471108e+00	2.9429300695e-04	2.4604540159e-07	4.9479650588e-04	8.3194013361e-17	1.5980079349e-13
4.5778405384e-08	1.0000000000e+03	6.1644697505e+11	3.3157164047e+11	2.3261472852e+00	2.9429899639e-04	2.4605039403e-07	4.9479653777e-04	8.7519625511e-17	1.6390418424e-13
4.6953900107e-08	1.0000000000e+03	6.3227610460e+11	3.4008571409e+11	2.3261474574e+00	2.9430486754e-04	2.4605528778e-07	4.9479656930e-04	9.2070181268e-17	1.6811294206e-13
4.8159579102e-08	1.0000000000e+03	6.4851169404e+11	3.4881841150e+11	2.3261476275e+00	2.9431062240e-04	2.4606008450e-07	4.9479660048e-04	9.6857379563e-17	1.7242977258e-13
4.9396217439e-08	1.0000000000e+03	6.6516418045e+11	3.5777534651e+11	2.3261477955e+00	2.9431626293e-04	2.4606478582e-07	4.9479663132e-04	1.0189352781e-16	1.7685745087e-13
5.0664610089e-08	1.0000000000e+03	6.8224426888e+11	3.6696227708e+11	2.3261479614e+00	2.9432179106e-04	2.4606939337e-07	4.9479666182e-04	1.0719157354e-16	1.8139882328e-13
5.1965572438e-08	1.0000000000e+03	6.9976293928e+11	3.7638510902e+11	2.3261481253e+00	2.9432720871e-04	2.4607390873e-07	4.9479669197e-04	1.1276513774e-16	1.8605680926e-13
5.3299940808e-08	1.0000000000e+03	7.1773145353e+11	3.8604989978e+11	2.3261482872e+00	2.9433251775e-04	2.4607833349e-07	4.9479672180e-04	1.1862854981e-16	1.9083440321e-13
5.4668572997e-08	1.0000000000e+03	7.3616136270e+11	3.9596286237e+11	2.3261484472e+00	2.9433772006e-04	2.4608266920e-07	4.9479675130e-04	1.2479688449e-16	1.9573467641e-13
5.6072348829e-08	1.0000000000e+03	7.5506451447e+11	4.0613036933e+11	2.3261486052e+00	2.9434281745e-04	2.4608691738e-07	4.9479678048e-04	1.3128600058e-16	2.0076077903e-13
5.7512170718e-08	1.0000000000e+03	7.7445306075e+11	4.1655895683e+11	2.3261487613e+00	2.9434781174e-04	2.4609107954e-07	4.9479680934e-04	1.3811258172e-16	2.0591594211e-13
5.8988964255e-08	1.0000000000e+03	7.9433946546e+11	4.2725532887e+11	2.3261489154e+00	2.9435270471e-04	2.4609515717e-07	4.9479683788e-04	1.4529417931e-16	2.1120347966e-13
6.0503678794e-08	1.0000000000e+03	8.1473651259e+11	4.3822636162e+11	2.3261490678e+00	2.9435749811e-04	2.4609915174e-07	4.9479686612e-04	1.5284925766e-16	2.1662679079e-13
6.2057288068e-08	1.0000000000e+03	8.3565731440e+11	4.4947910778e+11	2.3261492183e+00	2.9436219366e-04	2.4610306468e-07	4.9479689405e-04	1.6079724144e-16	2.2218936190e-13
6.3650790813e-08	1.0000000000e+03	8.5711531983e+11	4.6102080118e+11	2.3261493669e+00	2.9436679306e-04	2.4610689741e-07	4.9479692168e-04	1.6915856566e-16	2.2789476889e-13
6.5285211411e-08	1.0000000000e+03	8.7912432318e+11	4.7285886139e+11	2.3261495139e+00	2.9437129799e-04	2.4611065134e-07	4.9479694902e-04	1.7795472820e-16	2.3374667951e-13
6.6961600549e-08	1.0000000000e+03	9.0169847293e+11	4.8500089848e+11	2.3261496590e+00	2.9437571009e-04	2.4611432783e-07	4.9479697606e-04	1.8720834512e-16	2.3974885568e-13
6.8681035890e-08	1.0000000000e+03	9.2485228090e+11	4.9745471796e+11	2.3261498024e+00	2.9438003097e-04	2.4611792823e-07	4.9479700281e-04	1.9694320881e-16	2.4590515591e-13
7.0444622773e-08	1.0000000000e+03	9.4860063151e+11	5.1022832576e+11	2.3261499442e+00	2.9438426223e-04	2.4612145387e-07	4.9479702928e-04	2.0718434916e-16	2.5221953779e-13
7.2253494918e-08	1.0000000000e+03	9.7295879141e+11	5.2332993337e+11	2.3261500842e+00	2.9438840544e-04	2.4612490606e-07	4.9479705547e-04	2.1795809797e-16	2.5869606055e-13
7.4108815156e-08	1.0000000000e+03	9.9794241925e+11	5.3676796316e+11	2.3261502226e+00	2.9439246212e-04	2.4612828609e-07	4.9479708138e-04	2.2929215663e-16	2.6533888762e-13
7.6011776180e-08	1.0000000000e+03	1.0235675758e+12	5.5055105374e+11	2.3261503594e+00	2.9439643380e-04	2.4613159521e-07	4.9479710702e-04	2.4121566737e-16	2.7215228939e-13
7.7963601304e-08	1.0000000000e+03	1.0498507341e+12	5.6468806557e+11	2.3261504946e+00	2.9440032195e-04	2.4613483466e-07	4.9479713239e-04	2.5375928821e-16	2.7914064584e-13
7.9965545259e-08	1.0000000000e+03	1.0768087904e+12	5.7918808661e+11	2.3261506281e+00	2.9440412802e-04	2.4613800566e-07	4.9479715750e-04	2.6695527181e-16	2.8630844948e-13
8.2018894992e-08	1.0000000000e+03	1.1044590746e+12	5.9406043819e+11	2.3261507602e+00	2.9440785346e-04	2.4614110940e-07	4.9479718234e-04	2.8083754842e-16	2.9366030813e-13
8.4124970497e-08	1.0000000000e+03	1.1328193618e+12	6.0931468098e+11	2.3261508907e+00	2.9441149966e-04	2.4614414706e-07	4.9479720693e-04	2.9544181310e-16	3.0120094796e-13
8.6285125664e-08	1.0000000000e+03	1.1619078833e+12	6.2496062115e+11	2.3261510196e+00	2.9441506800e-04	2.4614711977e-07	4.9479723126e-04	3.1080561758e-16	3.0893521649e-13
8.8500749145e-08	1.0000000000e+03	1.1917433388e+12	6.4100831670e+11	2.3261511471e+00	2.9441855983e-04	2.4615002868e-07	4.9479725534e-04	3.2696846680e-16	3.1686808571e-13
9.0773265252e-08	1.0000000000e+03	1.2223449079e+12	6.5746808387e+11	2.3261512731e+00	2.9442197648e-04	2.4615287489e-07	4.9479727917e-04	3.4397192048e-16	3.2500465529e-13
9.3104134871e-08	1.0000000000e+03	1.2537322629e+12	6.7435050379e+11	2.3261513977e+00	2.9442531924e-04	2.4615565948e-07	4.9479730276e-04	3.6185970008e-16	3.3335015583e-13
9.5494856398e-08	1.0000000000e+03	1.2859255812e+12	6.9166642932e+11	2.3261515208e+00	2.9442858938e-04	2.4615838351e-07	4.9479732611e-04	3.8067780118e-16	3.4190995226e-13
9.7946966707e-08	1.0000000000e+03	1.3189455583e+12	7.0942699199e+11	2.3261516425e+00	2.9443178815e-04	2.4616104803e-07	4.9479734921e-04	4.0047461177e-16	3.5068954727e-13
1.0046204213e-07	1.0000000000e+03	1.3528134209e+12	7.2764360916e+11	2.3261517629e+00	2.9443491678e-04	2.4616365404e-07	4.9479737209e-04	4.2130103676e-16	3.5969458484e-13
