#p (bar)        	T (K)           	n_<tot> (cm-3)  	n_g (cm-3)      	m (u)           	H2O1            	C1O2            	C1O1            	C1H4            	H3N1            
1.0399609140e-05	1.0000000000e+03	1.4004079469e+14	7.5324062376e+13	2.3261605921e+00	2.9428825023e-04	2.4604041907e-07	4.9479936320e-04	4.5169906021e-12	3.7235224244e-11
1.0666649583e-05	1.0000000000e+03	1.4363675358e+14	7.7258228433e+13	2.3261606093e+00	2.9428267325e-04	2.4603575665e-07	4.9479937126e-04	4.7520332022e-12	3.8191348620e-11
1.0940547072e-05	1.0000000000e+03	1.4732504927e+14	7.9242059872e+13	2.3261606264e+00	2.9427699119e-04	2.4603100641e-07	4.9479937940e-04	4.9993080834e-12	3.9172024309e-11
1.1221477682e-05	1.0000000000e+03	1.5110805279e+14	8.1276831998e+13	2.3261606435e+00	2.9427120219e-04	2.4602616681e-07	4.9479938761e-04	5.2594519747e-12	4.0177881739e-11
1.1509622009e-05	1.0000000000e+03	1.5498819605e+14	8.3363852861e+13	2.3261606606e+00	2.9426530435e-04	2.4602123625e-07	4.9479939590e-04	5.5331347577e-12	4.1209567525e-11
1.1805165286e-05	1.0000000000e+03	1.5896797338e+14	8.5504464101e+13	2.3261606777e+00	2.9425929576e-04	2.4601621312e-07	4.9479940427e-04	5.8210611934e-12	4.2267744887e-11
1.2108297502e-05	1.0000000000e+03	1.6304994319e+14	8.7700041809e+13	2.3261606948e+00	2.9425317445e-04	2.4601109580e-07	4.9479941272e-04	6.1239727390e-12	4.3353094073e-11
1.2419213527e-05	1.0000000000e+03	1.6723672957e+14	8.9951997409e+13	2.3261607119e+00	2.9424693846e-04	2.4600588264e-07	4.9479942125e-04	6.4426494593e-12	4.4466312802e-11
1.2738113232e-05	1.0000000000e+03	1.7153102400e+14	9.2261778568e+13	2.3261607291e+00	2.9424058577e-04	2.4600057194e-07	4.9479942987e-04	6.7779120377e-12	4.5608116705e-11
1.3065201621e-05	1.0000000000e+03	1.7593558705e+14	9.4630870129e+13	2.3261607462e+00	2.9423411435e-04	2.4599516201e-07	4.9479943857e-04	7.1306238919e-12	4.6779239791e-11
1.3400688964e-05	1.0000000000e+03	1.8045325021e+14	9.7060795058e+13	2.3261607634e+00	2.9422752212e-04	2.4598965112e-07	4.9479944736e-04	7.5016934004e-12	4.7980434917e-11
1.3744790927e-05	1.0000000000e+03	1.8508691764e+14	9.9553115432e+13	2.3261607807e+00	2.9422080700e-04	2.4598403752e-07	4.9479945624e-04	7.8920762443e-12	4.9212474271e-11
1.4097728716e-05	1.0000000000e+03	1.8983956810e+14	1.0210943344e+14	2.3261607979e+00	2.9421396686e-04	2.4597831944e-07	4.9479946521e-04	8.3027778712e-12	5.0476149869e-11
1.4459729218e-05	1.0000000000e+03	1.9471425683e+14	1.0473139240e+14	2.3261608152e+00	2.9420699955e-04	2.4597249507e-07	4.9479947427e-04	8.7348560887e-12	5.1772274067e-11
1.4831025143e-05	1.0000000000e+03	1.9971411752e+14	1.0742067784e+14	2.3261608325e+00	2.9419990289e-04	2.4596656260e-07	4.9479948342e-04	9.1894237912e-12	5.3101680076e-11
1.5211855180e-05	1.0000000000e+03	2.0484236432e+14	1.1017901856e+14	2.3261608499e+00	2.9419267468e-04	2.4596052017e-07	4.9479949268e-04	9.6676518303e-12	5.4465222507e-11
1.5602464144e-05	1.0000000000e+03	2.1010229394e+14	1.1300818777e+14	2.3261608673e+00	2.9418531268e-04	2.4595436593e-07	4.9479950203e-04	1.0170772034e-11	5.5863777911e-11
1.6003103137e-05	1.0000000000e+03	2.1549728771e+14	1.1591000419e+14	2.3261608848e+00	2.9417781462e-04	2.4594809797e-07	4.9479951147e-04	1.0700080385e-11	5.7298245352e-11
1.6414029711e-05	1.0000000000e+03	2.2103081381e+14	1.1888633325e+14	2.3261609023e+00	2.9417017822e-04	2.4594171439e-07	4.9479952102e-04	1.1256940360e-11	5.8769546975e-11
1.6835508030e-05	1.0000000000e+03	2.2670642945e+14	1.2193908828e+14	2.3261609199e+00	2.9416240116e-04	2.4593521324e-07	4.9479953067e-04	1.1842786449e-11	6.0278628609e-11
1.7267809039e-05	1.0000000000e+03	2.3252778321e+14	1.2507023174e+14	2.3261609376e+00	2.9415448110e-04	2.4592859257e-07	4.9479954042e-04	1.2459127858e-11	6.1826460365e-11
1.7711210643e-05	1.0000000000e+03	2.3849861734e+14	1.2828177649e+14	2.3261609553e+00	2.9414641567e-04	2.4592185040e-07	4.9479955028e-04	1.3107552393e-11	6.3414037268e-11
1.8165997884e-05	1.0000000000e+03	2.4462277020e+14	1.3157578707e+14	2.3261609731e+00	2.9413820247e-04	2.4591498472e-07	4.9479956024e-04	1.3789730566e-11	6.5042379891e-11
1.8632463119e-05	1.0000000000e+03	2.5090417868e+14	1.3495438101e+14	2.3261609910e+00	2.9412983908e-04	2.4590799351e-07	4.9479957031e-04	1.4507419899e-11	6.6712535015e-11
1.9110906217e-05	1.0000000000e+03	2.5734688079e+14	1.3841973026e+14	2.3261610089e+00	2.9412132307e-04	2.4590087473e-07	4.9479958048e-04	1.5262469460e-11	6.8425576300e-11
1.9601634743e-05	1.0000000000e+03	2.6395501822e+14	1.4197406251e+14	2.3261610270e+00	2.9411265196e-04	2.4589362632e-07	4.9479959077e-04	1.6056824629e-11	7.0182604973e-11
2.0104964163e-05	1.0000000000e+03	2.7073283900e+14	1.4561966266e+14	2.3261610451e+00	2.9410382326e-04	2.4588624618e-07	4.9479960116e-04	1.6892532127e-11	7.1984750541e-11
2.0621218040e-05	1.0000000000e+03	2.7768470027e+14	1.4935887427e+14	2.3261610633e+00	2.9409483445e-04	2.4587873222e-07	4.9479961167e-04	1.7771745285e-11	7.3833171514e-11
2.1150728249e-05	1.0000000000e+03	2.8481507102e+14	1.5319410110e+14	2.3261610817e+00	2.9408568300e-04	2.4587108231e-07	4.9479962228e-04	1.8696729610e-11	7.5729056148e-11
2.1693835184e-05	1.0000000000e+03	2.9212853500e+14	1.5712780862e+14	2.3261611001e+00	2.9407636636e-04	2.4586329432e-07	4.9479963301e-04	1.9669868625e-11	7.7673623214e-11
2.2250887981e-05	1.0000000000e+03	2.9962979368e+14	1.6116252560e+14	2.3261611187e+00	2.9406688193e-04	2.4585536609e-07	4.9479964385e-04	2.0693670024e-11	7.9668122776e-11
2.2822244742e-05	1.0000000000e+03	3.0732366924e+14	1.6530084578e+14	2.3261611373e+00	2.9405722713e-04	2.4584729545e-07	4.9479965480e-04	2.1770772140e-11	8.1713836999e-11
2.3408272762e-05	1.0000000000e+03	3.1521510768e+14	1.6954542945e+14	2.3261611561e+00	2.9404739934e-04	2.4583908020e-07	4.9479966587e-04	2.2903950756e-11	8.3812080970e-11
2.4009348769e-05	1.0000000000e+03	3.2330918201e+14	1.7389900524e+14	2.3261611750e+00	2.9403739592e-04	2.4583071815e-07	4.9479967704e-04	2.4096126268e-11	8.5964203546e-11
2.4625859164e-05	1.0000000000e+03	3.3161109550e+14	1.7836437185e+14	2.3261611940e+00	2.9402721422e-04	2.4582220707e-07	4.9479968834e-04	2.5350371226e-11	8.8171588218e-11
2.5258200270e-05	1.0000000000e+03	3.4012618505e+14	1.8294439984e+14	2.3261612132e+00	2.9401685157e-04	2.4581354474e-07	4.9479969974e-04	2.6669918260e-11	9.0435654005e-11
2.5906778587e-05	1.0000000000e+03	3.4885992457e+14	1.8764203347e+14	2.3261612324e+00	2.9400630530e-04	2.4580472892e-07	4.9479971126e-04	2.8058168427e-11	9.2757856360e-11
2.6572011053e-05	1.0000000000e+03	3.5781792854e+14	1.9246029261e+14	2.3261612519e+00	2.9399557271e-04	2.4579575734e-07	4.9479972289e-04	2.9518699991e-11	9.5139688112e-11
2.7254325313e-05	1.0000000000e+03	3.6700595561e+14	1.9740227468e+14	2.3261612714e+00	2.9398465109e-04	2.4578662775e-07	4.9479973463e-04	3.1055277661e-11	9.7582680421e-11
2.7954159991e-05	1.0000000000e+03	3.7642991231e+14	2.0247115661e+14	2.3261612911e+00	2.9397353772e-04	2.4577733787e-07	4.9479974649e-04	3.2671862307e-11	1.0008840377e-10
2.8671964975e-05	1.0000000000e+03	3.8609585683e+14	2.0767019695e+14	2.3261613110e+00	2.9396222989e-04	2.4576788542e-07	4.9479975845e-04	3.4372621190e-11	1.0265846895e-10
2.9408201706e-05	1.0000000000e+03	3.9601000291e+14	2.1300273789e+14	2.3261613310e+00	2.9395072485e-04	2.4575826812e-07	4.9479977053e-04	3.6161938720e-11	1.0529452814e-10
3.0163343473e-05	1.0000000000e+03	4.0617872386e+14	2.1847220744e+14	2.3261613512e+00	2.9393901987e-04	2.4574848368e-07	4.9479978271e-04	3.8044427778e-11	1.0799827592e-10
3.0937875717e-05	1.0000000000e+03	4.1660855665e+14	2.2408212165e+14	2.3261613715e+00	2.9392711220e-04	2.4573852979e-07	4.9479979500e-04	4.0024941624e-11	1.1077145041e-10
3.1732296347e-05	1.0000000000e+03	4.2730620608e+14	2.2983608685e+14	2.3261613921e+00	2.9391499909e-04	2.4572840415e-07	4.9479980739e-04	4.2108586436e-11	1.1361583433e-10
3.2547116055e-05	1.0000000000e+03	4.3827854914e+14	2.3573780197e+14	2.3261614127e+00	2.9390267780e-04	2.4571810448e-07	4.9479981988e-04	4.4300734490e-11	1.1653325620e-10
3.3382858647e-05	1.0000000000e+03	4.4953263941e+14	2.4179106092e+14	2.3261614336e+00	2.9389014558e-04	2.4570762847e-07	4.9479983247e-04	4.6607038037e-11	1.1952559148e-10
3.4240061380e-05	1.0000000000e+03	4.6107571156e+14	2.4799975504e+14	2.3261614546e+00	2.9387739969e-04	2.4569697382e-07	4.9479984516e-04	4.9033443902e-11	1.2259476380e-10
3.5119275305e-05	1.0000000000e+03	4.7291518606e+14	2.5436787558e+14	2.3261614759e+00	2.9386443739e-04	2.4568613824e-07	4.9479985795e-04	5.1586208843e-11	1.2574274616e-10
3.6021065624e-05	1.0000000000e+03	4.8505867393e+14	2.6089951627e+14	2.3261614973e+00	2.9385125594e-04	2.4567511945e-07	4.9479987082e-04	5.4271915712e-11	1.2897156226e-10
3.6946012052e-05	1.0000000000e+03	4.9751398159e+14	2.6759887598e+14	2.3261615189e+00	2.9383785262e-04	2.4566391516e-07	4.9479988378e-04	5.7097490455e-11	1.3228328774e-10
3.7894709191e-05	1.0000000000e+03	5.1028911593e+14	2.7447026138e+14	2.3261615407e+00	2.9382422472e-04	2.4565252310e-07	4.9479989683e-04	6.0070220012e-11	1.3568005153e-10
3.8867766909e-05	1.0000000000e+03	5.2339228947e+14	2.8151808975e+14	2.3261615627e+00	2.9381036954e-04	2.4564094102e-07	4.9479990995e-04	6.3197771131e-11	1.3916403726e-10
3.9865810736e-05	1.0000000000e+03	5.3683192556e+14	2.8874689176e+14	2.3261615850e+00	2.9379628440e-04	2.4562916667e-07	4.9479992314e-04	6.6488210183e-11	1.4273748458e-10
4.0889482263e-05	1.0000000000e+03	5.5061666387e+14	2.9616131445e+14	2.3261616074e+00	2.9378196663e-04	2.4561719782e-07	4.9479993640e-04	6.9950023996e-11	1.4640269071e-10
4.1939439557e-05	1.0000000000e+03	5.6475536593e+14	3.0376612417e+14	2.3261616300e+00	2.9376741360e-04	2.4560503225e-07	4.9479994972e-04	7.3592141784e-11	1.5016201181e-10
4.3016357581e-05	1.0000000000e+03	5.7925712080e+14	3.1156620967e+14	2.3261616529e+00	2.9375262268e-04	2.4559266778e-07	4.9479996310e-04	7.7423958221e-11	1.5401786456e-10
4.4120928632e-05	1.0000000000e+03	5.9413125093e+14	3.1956658522e+14	2.3261616760e+00	2.9373759129e-04	2.4558010223e-07	4.9479997653e-04	8.1455357710e-11	1.5797272769e-10
4.5253862782e-05	1.0000000000e+03	6.0938731815e+14	3.2777239386e+14	2.3261616993e+00	2.9372231686e-04	2.4556733345e-07	4.9479999000e-04	8.5696739928e-11	1.6202914360e-10
4.6415888336e-05	1.0000000000e+03	6.2503512983e+14	3.3618891069e+14	2.3261617228e+00	2.9370679685e-04	2.4555435933e-07	4.9480000350e-04	9.0159046699e-11	1.6618971993e-10
4.7607752302e-05	1.0000000000e+03	6.4108474516e+14	3.4482154626e+14	2.3261617466e+00	2.9369102878e-04	2.4554117777e-07	4.9480001702e-04	9.4853790269e-11	1.7045713133e-10
4.8830220869e-05	1.0000000000e+03	6.5754648164e+14	3.5367585004e+14	2.3261617706e+00	2.9367501018e-04	2.4552778671e-07	4.9480003056e-04	9.9793083060e-11	1.7483412109e-10
5.0084079898e-05	1.0000000000e+03	6.7443092169e+14	3.6275751403e+14	2.3261617949e+00	2.9365873865e-04	2.4551418413e-07	4.9480004411e-04	1.0498966897e-10	1.7932350296e-10
5.1370135434e-05	1.0000000000e+03	6.9174891948e+14	3.7207237635e+14	2.3261618194e+00	2.9364221181e-04	2.4550036803e-07	4.9480005765e-04	1.1045695631e-10	1.8392816293e-10
5.2689214214e-05	1.0000000000e+03	7.0951160788e+14	3.8162642506e+14	2.3261618442e+00	2.9362542733e-04	2.4548633648e-07	4.9480007117e-04	1.1620905246e-10	1.8865106111e-10
5.4042164207e-05	1.0000000000e+03	7.2773040563e+14	3.9142580197e+14	2.3261618692e+00	2.9360838294e-04	2.4547208755e-07	4.9480008466e-04	1.2226080033e-10	1.9349523360e-10
5.5429855157e-05	1.0000000000e+03	7.4641702469e+14	4.0147680661e+14	2.3261618944e+00	2.9359107643e-04	2.4545761940e-07	4.9480009811e-04	1.2862781674e-10	1.9846379450e-10
5.6853179139e-05	1.0000000000e+03	7.6558347776e+14	4.1178590025e+14	2.3261619200e+00	2.9357350563e-04	2.4544293021e-07	4.9480011151e-04	1.3532653276e-10	2.0355993782e-10
5.8313051135e-05	1.0000000000e+03	7.8524208599e+14	4.2235971007e+14	2.3261619458e+00	2.9355566845e-04	2.4542801821e-07	4.9480012483e-04	1.4237423620e-10	2.0878693962e-10
5.9810409624e-05	1.0000000000e+03	8.0540548691e+14	4.3320503346e+14	2.3261619718e+00	2.9353756285e-04	2.4541288169e-07	4.9480013807e-04	1.4978911632e-10	2.1414816007e-10
6.1346217180e-05	1.0000000000e+03	8.2608664257e+14	4.4432884230e+14	2.3261619981e+00	2.9351918688e-04	2.4539751901e-07	4.9480015121e-04	1.5759031080e-10	2.1964704564e-10
6.2921461096e-05	1.0000000000e+03	8.4729884786e+14	4.5573828755e+14	2.3261620247e+00	2.9350053862e-04	2.4538192857e-07	4.9480016422e-04	1.6579795526e-10	2.2528713127e-10
6.4537154016e-05	1.0000000000e+03	8.6905573904e+14	4.6744070373e+14	2.3261620516e+00	2.9348161627e-04	2.4536610885e-07	4.9480017709e-04	1.7443323531e-10	2.3107204269e-10
6.6194334588e-05	1.0000000000e+03	8.9137130252e+14	4.7944361375e+14	2.3261620788e+00	2.9346241810e-04	2.4535005837e-07	4.9480018980e-04	1.8351844130e-10	2.3700549872e-10
6.7894068127e-05	1.0000000000e+03	9.1425988388e+14	4.9175473366e+14	2.3261621062e+00	2.9344294245e-04	2.4533377575e-07	4.9480020233e-04	1.9307702595e-10	2.4309131367e-10
6.9637447306e-05	1.0000000000e+03	9.3773619703e+14	5.0438197765e+14	2.3261621339e+00	2.9342318775e-04	2.4531725967e-07	4.9480021466e-04	2.0313366502e-10	2.4933339981e-10
7.1425592855e-05	1.0000000000e+03	9.6181533374e+14	5.1733346314e+14	2.3261621619e+00	2.9340315253e-04	2.4530050889e-07	4.9480022675e-04	2.1371432108e-10	2.5573576986e-10
7.3259654282e-05	1.0000000000e+03	9.8651277327e+14	5.3061751598e+14	2.3261621902e+00	2.9338283541e-04	2.4528352223e-07	4.9480023859e-04	2.2484631063e-10	2.6230253956e-10
7.5140810611e-05	1.0000000000e+03	1.0118443924e+15	5.4424267581e+14	2.3261622188e+00	2.9336223511e-04	2.4526629861e-07	4.9480025015e-04	2.3655837477e-10	2.6903793036e-10
7.7070271142e-05	1.0000000000e+03	1.0378264755e+15	5.5821770155e+14	2.3261622477e+00	2.9334135046e-04	2.4524883704e-07	4.9480026140e-04	2.4888075348e-10	2.7594627209e-10
7.9049276227e-05	1.0000000000e+03	1.0644757252e+15	5.7255157703e+14	2.3261622769e+00	2.9332018039e-04	2.4523113660e-07	4.9480027231e-04	2.6184526380e-10	2.8303200577e-10
8.1079098067e-05	1.0000000000e+03	1.0918092730e+15	5.8725351677e+14	2.3261623063e+00	2.9329872393e-04	2.4521319649e-07	4.9480028284e-04	2.7548538215e-10	2.9029968645e-10
8.3161041532e-05	1.0000000000e+03	1.1198446902e+15	6.0233297190e+14	2.3261623361e+00	2.9327698026e-04	2.4519501597e-07	4.9480029297e-04	2.8983633085e-10	2.9775398614e-10
8.5296444997e-05	1.0000000000e+03	1.1485999995e+15	6.1779963624e+14	2.3261623662e+00	2.9325494864e-04	2.4517659443e-07	4.9480030265e-04	3.0493516920e-10	3.0539969684e-10
8.7486681205e-05	1.0000000000e+03	1.1780936861e+15	6.3366345251e+14	2.3261623966e+00	2.9323262847e-04	2.4515793134e-07	4.9480031185e-04	3.2082088935e-10	3.1324173356e-10
8.9733158146e-05	1.0000000000e+03	1.2083447101e+15	6.4993461876e+14	2.3261624272e+00	2.9321001928e-04	2.4513902628e-07	4.9480032052e-04	3.3753451706e-10	3.2128513754e-10
9.2037319966e-05	1.0000000000e+03	1.2393725184e+15	6.6662359489e+14	2.3261624582e+00	2.9318712072e-04	2.4511987896e-07	4.9480032864e-04	3.5511921784e-10	3.2953507947e-10
9.4400647894e-05	1.0000000000e+03	1.2711970572e+15	6.8374110939e+14	2.3261624895e+00	2.9316393259e-04	2.4510048916e-07	4.9480033614e-04	3.7362040856e-10	3.3799686281e-10
9.6824661193e-05	1.0000000000e+03	1.3038387849e+15	7.0129816625e+14	2.3261625211e+00	2.9314045482e-04	2.4508085682e-07	4.9480034298e-04	3.9308587485e-10	3.4667592718e-10
9.9310918137e-05	1.0000000000e+03	1.3373186853e+15	7.1930605199e+14	2.3261625530e+00	2.9311668747e-04	2.4506098195e-07	4.9480034912e-04	4.1356589474e-10	3.5557785191e-10
1.0186101702e-04	1.0000000000e+03	1.3716582809e+15	7.3777634298e+14	2.3261625852e+00	2.9309263076e-04	2.4504086473e-07	4.9480035450e-04	4.3511336859e-10	3.6470835958e-10
1.0447659716e-04	1.0000000000e+03	1.4068796469e+15	7.5672091282e+14	2.3261626178e+00	2.9306828506e-04	2.4502050542e-07	4.9480035906e-04	4.5778395595e-10	3.7407331969e-10
1.0715933998e-04	1.0000000000e+03	1.4430054254e+15	7.7615194001e+14	2.3261626506e+00	2.9304365089e-04	2.4499990442e-07	4.9480036274e-04	4.8163621944e-10	3.8367875250e-10
1.0991097009e-04	1.0000000000e+03	1.4800588399e+15	7.9608191577e+14	2.3261626838e+00	2.9301872891e-04	2.4497906228e-07	4.9480036549e-04	5.0673177620e-10	3.9353083282e-10
1.1273325637e-04	1.0000000000e+03	1.5180637101e+15	8.1652365207e+14	2.3261627172e+00	2.9299351997e-04	2.4495797965e-07	4.9480036723e-04	5.3313545720e-10	4.0363589402e-10
1.1562801312e-04	1.0000000000e+03	1.5570444675e+15	8.3749028986e+14	2.3261627510e+00	2.9296802504e-04	2.4493665733e-07	4.9480036791e-04	5.6091547492e-10	4.1400043212e-10
1.1859710123e-04	1.0000000000e+03	1.5970261709e+15	8.5899530752e+14	2.3261627851e+00	2.9294224530e-04	2.4491509626e-07	4.9480036743e-04	5.9014359967e-10	4.2463110992e-10
1.2164242939e-04	1.0000000000e+03	1.6380345225e+15	8.8105252954e+14	2.3261628195e+00	2.9291618207e-04	2.4489329751e-07	4.9480036574e-04	6.2089534517e-10	4.3553476130e-10
1.2476595526e-04	1.0000000000e+03	1.6800958846e+15	9.0367613538e+14	2.3261628542e+00	2.9288983685e-04	2.4487126228e-07	4.9480036274e-04	6.5325016386e-10	4.4671839564e-10
1.2796968682e-04	1.0000000000e+03	1.7232372963e+15	9.2688066860e+14	2.3261628892e+00	2.9286321131e-04	2.4484899194e-07	4.9480035835e-04	6.8729165223e-10	4.5818920230e-10
1.3125568358e-04	1.0000000000e+03	1.7674864911e+15	9.5068104621e+14	2.3261629245e+00	2.9283630729e-04	2.4482648798e-07	4.9480035249e-04	7.2310776704e-10	4.6995455522e-10
1.3462605793e-04	1.0000000000e+03	1.8128719146e+15	9.7509256828e+14	2.3261629601e+00	2.9280912682e-04	2.4480375205e-07	4.9480034506e-04	7.6079105269e-10	4.8202201771e-10
1.3808297652e-04	1.0000000000e+03	1.8594227427e+15	1.0001309277e+15	2.3261629960e+00	2.9278167210e-04	2.4478078594e-07	4.9480033595e-04	8.0043888048e-10	4.9439934729e-10
1.4162866163e-04	1.0000000000e+03	1.9071689009e+15	1.0258122204e+15	2.3261630322e+00	2.9275394551e-04	2.4475759160e-07	4.9480032507e-04	8.4215370034e-10	5.0709450065e-10
1.4526539259e-04	1.0000000000e+03	1.9561410825e+15	1.0521529556e+15	2.3261630687e+00	2.9272594964e-04	2.4473417113e-07	4.9480031229e-04	8.8604330569e-10	5.2011563882e-10
1.4899550729e-04	1.0000000000e+03	2.0063707695e+15	1.0791700663e+15	2.3261631055e+00	2.9269768722e-04	2.4471052676e-07	4.9480029752e-04	9.3222111210e-10	5.3347113236e-10
1.5282140360e-04	1.0000000000e+03	2.0578902520e+15	1.1068809205e+15	2.3261631427e+00	2.9266916120e-04	2.4468666089e-07	4.9480028062e-04	9.8080645047e-10	5.4716956677e-10
1.5674554102e-04	1.0000000000e+03	2.1107326493e+15	1.1353033321e+15	2.3261631801e+00	2.9264037471e-04	2.4466257608e-07	4.9480026147e-04	1.0319248755e-09	5.6121974802e-10
1.6077044217e-04	1.0000000000e+03	2.1649319312e+15	1.1644555725e+15	2.3261632177e+00	2.9261133105e-04	2.4463827503e-07	4.9480023993e-04	1.0857084901e-09	5.7563070818e-10
1.6489869445e-04	1.0000000000e+03	2.2205229396e+15	1.1943563820e+15	2.3261632557e+00	2.9258203374e-04	2.4461376060e-07	4.9480021585e-04	1.1422962872e-09	5.9041171124e-10
1.6913295170e-04	1.0000000000e+03	2.2775414114e+15	1.2250249825e+15	2.3261632940e+00	2.9255248646e-04	2.4458903581e-07	4.9480018910e-04	1.2018345085e-09	6.0557225907e-10
1.7347593592e-04	1.0000000000e+03	2.3360240007e+15	1.2564810891e+15	2.3261633325e+00	2.9252269310e-04	2.4456410381e-07	4.9480015950e-04	1.2644770228e-09	6.2112209754e-10
1.7793043899e-04	1.0000000000e+03	2.3960083032e+15	1.2887449235e+15	2.3261633713e+00	2.9249265771e-04	2.4453896794e-07	4.9480012690e-04	1.3303857236e-09	6.3707122273e-10
1.8249932448e-04	1.0000000000e+03	2.4575328798e+15	1.3218372264e+15	2.3261634104e+00	2.9246238457e-04	2.4451363166e-07	4.9480009112e-04	1.3997309473e-09	6.5342988743e-10
1.8718552950e-04	1.0000000000e+03	2.5206372815e+15	1.3557792712e+15	2.3261634498e+00	2.9243187810e-04	2.4448809861e-07	4.9480005197e-04	1.4726919135e-09	6.7020860768e-10
1.9199206656e-04	1.0000000000e+03	2.5853620751e+15	1.3905928774e+15	2.3261634894e+00	2.9240114295e-04	2.4446237255e-07	4.9480000927e-04	1.5494571882e-09	6.8741816955e-10
1.9692202555e-04	1.0000000000e+03	2.6517488689e+15	1.4263004250e+15	2.3261635293e+00	2.9237018393e-04	2.4443645743e-07	4.9479996280e-04	1.6302251708e-09	7.0506963606e-10
2.0197857568e-04	1.0000000000e+03	2.7198403396e+15	1.4629248685e+15	2.3261635695e+00	2.9233900604e-04	2.4441035730e-07	4.9479991236e-04	1.7152046069e-09	7.2317435430e-10
2.0716496756e-04	1.0000000000e+03	2.7896802600e+15	1.5004897520e+15	2.3261636099e+00	2.9230761446e-04	2.4438407641e-07	4.9479985773e-04	1.8046151275e-09	7.4174396274e-10
2.1248453525e-04	1.0000000000e+03	2.8613135265e+15	1.5390192239e+15	2.3261636505e+00	2.9227601455e-04	2.4435761911e-07	4.9479979865e-04	1.8986878165e-09	7.6079039868e-10
2.1794069843e-04	1.0000000000e+03	2.9347861887e+15	1.5785380530e+15	2.3261636914e+00	2.9224421185e-04	2.4433098992e-07	4.9479973489e-04	1.9976658077e-09	7.8032590592e-10
2.2353696459e-04	1.0000000000e+03	3.0101454784e+15	1.6190716438e+15	2.3261637326e+00	2.9221221208e-04	2.4430419348e-07	4.9479966619e-04	2.1018049126e-09	8.0036304269e-10
2.2927693129e-04	1.0000000000e+03	3.0874398404e+15	1.6606460533e+15	2.3261637739e+00	2.9218002113e-04	2.4427723459e-07	4.9479959227e-04	2.2113742815e-09	8.2091468964e-10
2.3516428845e-04	1.0000000000e+03	3.1667189635e+15	1.7032880077e+15	2.3261638155e+00	2.9214764505e-04	2.4425011818e-07	4.9479951283e-04	2.3266570982e-09	8.4199405819e-10
2.4120282076e-04	1.0000000000e+03	3.2480338121e+15	1.7470249192e+15	2.3261638573e+00	2.9211509006e-04	2.4422284928e-07	4.9479942758e-04	2.4479513120e-09	8.6361469898e-10
2.4739641009e-04	1.0000000000e+03	3.3314366596e+15	1.7918849040e+15	2.3261638994e+00	2.9208236255e-04	2.4419543310e-07	4.9479933619e-04	2.5755704066e-09	8.8579051058e-10
2.5374903797e-04	1.0000000000e+03	3.4169811215e+15	1.8378968005e+15	2.3261639416e+00	2.9204946906e-04	2.4416787493e-07	4.9479923834e-04	2.7098442099e-09	9.0853574845e-10
2.6026478820e-04	1.0000000000e+03	3.5047221900e+15	1.8850901873e+15	2.3261639841e+00	2.9201641630e-04	2.4414018021e-07	4.9479913366e-04	2.8511197455e-09	9.3186503411e-10
2.6694784940e-04	1.0000000000e+03	3.5947162696e+15	1.9334954025e+15	2.3261640268e+00	2.9198321110e-04	2.4411235448e-07	4.9479902178e-04	2.9997621291e-09	9.5579336447e-10
2.7380251779e-04	1.0000000000e+03	3.6870212130e+15	1.9831435636e+15	2.3261640696e+00	2.9194986048e-04	2.4408440340e-07	4.9479890232e-04	3.1561555103e-09	9.8033612155e-10
2.8083319988e-04	1.0000000000e+03	3.7816963583e+15	2.0340665867e+15	2.3261641127e+00	2.9191637155e-04	2.4405633273e-07	4.9479877485e-04	3.3207040654e-09	1.0055090823e-09
2.8804441534e-04	1.0000000000e+03	3.8788025676e+15	2.0862972076e+15	2.3261641559e+00	2.9188275160e-04	2.4402814836e-07	4.9479863896e-04	3.4938330400e-09	1.0313284289e-09
2.9544079989e-04	1.0000000000e+03	3.9784022656e+15	2.1398690028e+15	2.3261641993e+00	2.9184900804e-04	2.4399985623e-07	4.9479849418e-04	3.6759898467e-09	1.0578107589e-09
3.0302710829e-04	1.0000000000e+03	4.0805594799e+15	2.1948164109e+15	2.3261642429e+00	2.9181514838e-04	2.4397146243e-07	4.9479834003e-04	3.8676452204e-09	1.0849730960e-09
3.1080821739e-04	1.0000000000e+03	4.1853398823e+15	2.2511747547e+15	2.3261642867e+00	2.9178118028e-04	2.4394297310e-07	4.9479817602e-04	4.0692944326e-09	1.1128329012e-09
3.1878912927e-04	1.0000000000e+03	4.2928108310e+15	2.3089802641e+15	2.3261643306e+00	2.9174711150e-04	2.4391439448e-07	4.9479800161e-04	4.2814585698e-09	1.1414080837e-09
3.2697497445e-04	1.0000000000e+03	4.4030414136e+15	2.3682700994e+15	2.3261643746e+00	2.9171294993e-04	2.4388573288e-07	4.9479781625e-04	4.5046858783e-09	1.1707170125e-09
3.3537101520e-04	1.0000000000e+03	4.5161024920e+15	2.4290823750e+15	2.3261644189e+00	2.9167870353e-04	2.4385699468e-07	4.9479761935e-04	4.7395531782e-09	1.2007785284e-09
3.4398264890e-04	1.0000000000e+03	4.6320667474e+15	2.4914561840e+15	2.3261644632e+00	2.9164438039e-04	2.4382818635e-07	4.9479741031e-04	4.9866673525e-09	1.2316119560e-09
