# wavelength_um  flux
7.0658583537e-01 1.7669928885e-11
7.0941217871e-01 1.7095862883e-11
7.1224982743e-01 1.6468359462e-11
7.1509882674e-01 1.5171944763e-11
7.1795922205e-01 1.3417589602e-11
7.2083105893e-01 1.2085290391e-11
7.2371438317e-01 1.0395947842e-11
7.2660924070e-01 8.5939145941e-12
7.2951567766e-01 7.2184617966e-12
7.3243374038e-01 6.0949473823e-12
7.3536347534e-01 5.0876691343e-12
7.3830492924e-01 4.1773598564e-12
7.4125814896e-01 3.1690525057e-12
7.4422318155e-01 2.3783973361e-12
7.4720007428e-01 1.8383791613e-12
7.5018887457e-01 1.3647997637e-12
7.5318963007e-01 8.6448146952e-13
7.5620238859e-01 5.6386925930e-13
7.5922719815e-01 3.9182852236e-13
7.6226410694e-01 1.3241914826e-13
7.6531316337e-01 7.6772891506e-15
7.6837441602e-01 2.3635357341e-15
7.7144791369e-01 4.0113958853e-14
7.7453370534e-01 5.4819733052e-13
7.7763184016e-01 1.3603713464e-12
7.8074236752e-01 2.3984258852e-12
7.8386533699e-01 3.9741260888e-12
7.8700079834e-01 6.3109147818e-12
7.9014880153e-01 9.5385831806e-12
7.9330939674e-01 1.3589921693e-11
7.9648263433e-01 1.9037916979e-11
7.9966856486e-01 2.5829400699e-11
8.0286723912e-01 3.3940290609e-11
8.0607870808e-01 4.3919379138e-11
8.0930302291e-01 5.6142813116e-11
8.1254023500e-01 6.9997259830e-11
8.1579039594e-01 8.7104150000e-11
8.1905355753e-01 1.1059566037e-10
8.2232977176e-01 1.3648627884e-10
8.2561909084e-01 1.6978837893e-10
8.2892156721e-01 2.0410973061e-10
8.3223725348e-01 2.4098902352e-10
8.3556620249e-01 2.7881929375e-10
8.3890846730e-01 3.2348409065e-10
8.4226410117e-01 3.8011132808e-10
8.4563315757e-01 4.5042407890e-10
8.4901569020e-01 5.2818422740e-10
8.5241175297e-01 6.0860159515e-10
8.5582139998e-01 7.0162051549e-10
8.5924468558e-01 8.0437718803e-10
8.6268166432e-01 9.0418974290e-10
8.6613239098e-01 1.0195251422e-09
8.6959692054e-01 1.1621621383e-09
